('a', 'a')
('adeeilnsttt', 'dilettantes')
('adeiilnttt', 'dilettanti')
('adehiilnsttt', 'dilettantish')
('adeiilmnsttt', 'dilettantism')
('cdeegiiln', 'diligence')
('degiilnt', 'diligent')
('degiillnty', 'diligently')
('dill', 'dill')
('diill', 'dilli')
('deiills', 'dillies')
('dills', 'dills')
('dilly', 'dilly')
('deiltu', 'dilute')
('ddeiltu', 'diluted')
('deilstu', 'dilutes')
('dgiilntu', 'diluting')
('diilnotu', 'dilution')
('dilnwy', 'dilwyn')
('dim', 'dim')
('deim', 'dime')
('deiimnnos', 'dimension')
('adeiilmnnos', 'dimensional')
('adeiillmnnosy', 'dimensionally')
('ddeeiimnnos', 'dimensioned')
('degiiimnnnos', 'dimensioning')
('deiimnnoss', 'dimensions')
('deims', 'dimes')
('dhiiimns', 'diminish')
('ddehiiimns', 'diminished')
('dehiiimnss', 'diminishes')
('dghiiiimnns', 'diminishing')
('dehiiimmnnst', 'diminishment')
('ddeiimnnou', 'diminuendo')
('ddeiimnnosu', 'diminuendos')
('diiimnnotu', 'diminution')
('deiiimntuv', 'diminutive')
('deiiilmntuvy', 'diminutively')
('deiiimnstuv', 'diminutives')
('diiims', 'dimisi')
('diimorssy', 'dimissory')
('deiiimst', 'dimities')
('diimty', 'dimity')
('dilmy', 'dimly')
('ddeimm', 'dimmed')
('deimmr', 'dimmer')
('deimmrs', 'dimmers')
('deimmst', 'dimmest')
('dgiimmn', 'dimming')
('deimnss', 'dimness')
('dhimopr', 'dimorph')
('cdhiimopr', 'dimorphic')
('dhiimmoprs', 'dimorphism')
('dhimoprs', 'dimorphs')
('deilmp', 'dimple')
('ddeilmp', 'dimpled')
('deilmps', 'dimples')
('dgiilmnp', 'dimpling')
('dims', 'dims')
('diimtw', 'dimwit')
('diimstw', 'dimwits')
('din', 'din')
('adinr', 'dinar')
('acdhinry', 'dinarchy')
('adinrs', 'dinars')
('dein', 'dine')
('ddein', 'dined')
('deinr', 'diner')
('deinrs', 'diners')
('deins', 'dines')
('deeintt', 'dinette')
('deeinstt', 'dinettes')
('dgin', 'ding')
('ddegin', 'dinged')
('deghiins', 'dinghies')
('dghiny', 'dinghy')
('degiinr', 'dingier')
('degiinst', 'dingiest')
('degiinnss', 'dinginess')
('dggiinn', 'dinging')
('dgino', 'dingo')
('deginos', 'dingoes')
('dgins', 'dings')
('adgillnw', 'dingwall')
('dginy', 'dingy')
('dgiinn', 'dining')
('deiiknr', 'dinkier')
('deiiknst', 'dinkiest')
('dikny', 'dinky')
('ddeinn', 'dinned')
('deinnr', 'dinner')
('deinnrs', 'dinners')
('deeiimnnrt', 'dinnertime')
('adeeinnrrw', 'dinnerware')
('dgiinnn', 'dinning')
('adinorsu', 'dinosaur')
('adinorssu', 'dinosaurs')
('dins', 'dins')
('dint', 'dint')
('dinst', 'dints')
('acdeinos', 'diocesan')
('acdeinoss', 'diocesans')
('cdeeios', 'diocese')
('cdeeioss', 'dioceses')
('ddeio', 'diode')
('ddeios', 'diodes')
('acdhiiio', 'dioichia')
('aadimor', 'diorama')
('aadimors', 'dioramas')
('deiiort', 'diorite')
('ddeiiox', 'dioxide')
('ddeiiosx', 'dioxides')
('diinox', 'dioxin')
('diinosx', 'dioxins')
('dip', 'dip')
('adehhiiprt', 'diphtheria')
('dghhinopt', 'diphthong')
('dghhinopst', 'diphthongs')
('ddiilop', 'diploid')
('adilmop', 'diploma')
('acdilmopy', 'diplomacy')
('adilmops', 'diplomas')
('adilmopt', 'diplomat')
('acdiilmopt', 'diplomatic')
('aacdiilllmopty', 'diplomatically')
('acdiilmopst', 'diplomatics')
('adeiilmopqtu', 'diplomatique')
('adiilmopstt', 'diplomatist')
('adiilmopsstt', 'diplomatists')
('adilmopst', 'diplomats')
('deilop', 'dipole')
('deilops', 'dipoles')
('ddeipp', 'dipped')
('deippr', 'dipper')
('deipprs', 'dippers')
('dgiinpp', 'dipping')
('dips', 'dips')
('aadiimnops', 'dipsomania')
('aacdiimnops', 'dipsomaniac')
('aacdiimnopss', 'dipsomaniacs')
('cdiikpst', 'dipstick')
('cdiikpsst', 'dipsticks')
('deioprstu', 'dipterous')
('cdhipty', 'diptych')
('cdhipsty', 'diptychs')
('deir', 'dire')
('cdeirt', 'direct')
('cddeeirt', 'directed')
('cdegiinrt', 'directing')
('cdeiinort', 'direction')
('acdeiilnort', 'directional')
('acdeiiilnortty', 'directionality')
('acdeiillnorty', 'directionally')
('cdeiinorst', 'directions')
('cdeeiirtv', 'directive')
('cdeeiirstv', 'directives')
('cdeilrty', 'directly')
('cdeeinrsst', 'directness')
('cdeiorrt', 'director')
('acdeeiorrtt', 'directorate')
('acdeeiorrstt', 'directorates')
('cdeeiiorrst', 'directories')
('cdeiorrst', 'directors')
('cdehiioprrst', 'directorship')
('cdehiioprrsst', 'directorships')
('cdeiorrty', 'directory')
('cdeeirrsst', 'directress')
('cdeeeirrssst', 'directresses')
('cdeirst', 'directs')
('defilru', 'direful')
('defillruy', 'direfully')
('deilry', 'direly')
('deirr', 'direr')
('deirst', 'direst')
('degir', 'dirge')
('degirs', 'dirges')
('bdegiiilr', 'dirigible')
('bdegiiilrs', 'dirigibles')
('ddilnr', 'dirndl')
('ddilnrs', 'dirndls')
('dirt', 'dirt')
('ddeiirt', 'dirtied')
('deiirrt', 'dirtier')
('deiirst', 'dirties')
('deiirstt', 'dirtiest')
('diilrty', 'dirtily')
('deiinrsst', 'dirtiness')
('dirty', 'dirty')
('dgiinrty', 'dirtying')
('abdeiiiilsst', 'disabilities')
('abdiiilsty', 'disability')
('abdeils', 'disable')
('abddeils', 'disabled')
('abdeeilmnst', 'disablement')
('abdeilss', 'disables')
('abdgiilns', 'disabling')
('abdeissu', 'disabuse')
('abddeissu', 'disabused')
('abdeisssu', 'disabuses')
('abdgiinssu', 'disabusing')
('aaccddehiirs', 'disaccharide')
('accdimosstu', 'disaccustom')
('accddeimosstu', 'disaccustomed')
('accdgiimnosstu', 'disaccustoming')
('accdimossstu', 'disaccustoms')
('aaaddeginstv', 'disadvantage')
('aaadddeginstv', 'disadvantaged')
('aaaddeginosstuv', 'disadvantageous')
('aaaddegilnosstuvy', 'disadvantageously')
('aaaddeginsstv', 'disadvantages')
('aaaddggiinnstv', 'disadvantaging')
('acdeffist', 'disaffect')
('acddeeffist', 'disaffected')
('acddeeffilsty', 'disaffectedly')
('acdeffgiinst', 'disaffecting')
('acdeffiinost', 'disaffection')
('acdeffisst', 'disaffects')
('aadeffiiilst', 'disaffiliate')
('aaddeffiiilst', 'disaffiliated')
('aadeffiiilsst', 'disaffiliates')
('aadffgiiiilnst', 'disaffiliating')
('aadffiiiilnost', 'disaffiliation')
('adffiimrs', 'disaffirm')
('aacdeffiimnrs', 'disaffirmance')
('aadffiiimnorst', 'disaffirmation')
('addeffiimrs', 'disaffirmed')
('adffgiiimnrs', 'disaffirming')
('adffiimrss', 'disaffirms')
('adeffiorsst', 'disafforest')
('addeeffiorsst', 'disafforested')
('adeffgiinorsst', 'disafforesting')
('adeffiorssst', 'disafforests')
('adeegirs', 'disagree')
('aabdeeegilrs', 'disagreeable')
('aabdeeeegilnrsss', 'disagreeableness')
('aabdeegilrsy', 'disagreeably')
('addeegirs', 'disagreed')
('adeeggiinrs', 'disagreeing')
('adeeegimnrst', 'disagreement')
('adeeegimnrsst', 'disagreements')
('adeegirss', 'disagrees')
('adillosw', 'disallow')
('aabdeilllosw', 'disallowable')
('aacdeillnosw', 'disallowance')
('addeillosw', 'disallowed')
('adgiillnosw', 'disallowing')
('adillossw', 'disallows')
('adilsst', 'disalts')
('aabdegiimstu', 'disambiguate')
('aabddegiimstu', 'disambiguated')
('aabdegiimsstu', 'disambiguates')
('aabdggiiimnstu', 'disambiguating')
('aabdgiiimnostu', 'disambiguation')
('aadeipprs', 'disappear')
('aaacdeeinpprs', 'disappearance')
('aaacdeeinpprss', 'disappearances')
('aaddeeipprs', 'disappeared')
('aadegiinpprs', 'disappearing')
('aadeipprss', 'disappears')
('adiinoppst', 'disappoint')
('addeiinoppst', 'disappointed')
('addeiilnoppsty', 'disappointedly')
('adgiiinnoppst', 'disappointing')
('adgiiilnnoppsty', 'disappointingly')
('adeiimnnoppstt', 'disappointment')
('adeiimnnoppsstt', 'disappointments')
('adiinoppsst', 'disappoints')
('aabdiinoopprst', 'disapprobation')
('aadiiinooppprrst', 'disappropriation')
('aadilopprsv', 'disapproval')
('adeiopprsv', 'disapprove')
('addeiopprsv', 'disapproved')
('adeiopprssv', 'disapproves')
('adgiinopprsv', 'disapproving')
('adgiilnopprsvy', 'disapprovingly')
('adimrs', 'disarm')
('aadeimmnrst', 'disarmament')
('addeimrs', 'disarmed')
('adgiimnrs', 'disarming')
('adgiilmnrsy', 'disarmingly')
('adimrss', 'disarms')
('aadeginrrs', 'disarrange')
('aaddeginrrs', 'disarranged')
('aadeegimnnrrst', 'disarrangement')
('aadeginrrss', 'disarranges')
('aadggiinnrrs', 'disarranging')
('aadirrsy', 'disarray')
('aaddeirrsy', 'disarrayed')
('aadgiinrrsy', 'disarraying')
('aadirrssy', 'disarrays')
('abdeeilmsss', 'disassemble')
('abddeeilmsss', 'disassembled')
('abdeeilmssss', 'disassembles')
('abdegiilmnsss', 'disassembling')
('abdeilmsssy', 'disassembly')
('aacdeiiossst', 'disassociate')
('aacddeiiossst', 'disassociated')
('aacdeiiosssst', 'disassociates')
('aacdgiiinossst', 'disassociating')
('aacdiiinoossst', 'disassociation')
('adeirsst', 'disaster')
('adeirssst', 'disasters')
('adiorssstu', 'disastrous')
('adilorssstuy', 'disastrously')
('adiosvw', 'disavow')
('aadilosvw', 'disavowal')
('aadilossvw', 'disavowals')
('addeiosvw', 'disavowed')
('adgiinosvw', 'disavowing')
('adiossvw', 'disavows')
('abddins', 'disband')
('abdddeins', 'disbanded')
('abddgiinns', 'disbanding')
('abddeimnnst', 'disbandment')
('abddinss', 'disbands')
('abdirs', 'disbar')
('abdeimnrst', 'disbarment')
('abdeimnrsst', 'disbarments')
('abddeirrs', 'disbarred')
('abdgiinrrs', 'disbarring')
('abdirss', 'disbars')
('bdeefiils', 'disbelief')
('bdeeeiilsv', 'disbelieve')
('bddeeeiilsv', 'disbelieved')
('bdeeeiilrsv', 'disbeliever')
('bdeeeiilrssv', 'disbelievers')
('bdeeeiilssv', 'disbelieves')
('bdeegiiilnsv', 'disbelieving')
('bddeinrsu', 'disburden')
('bdddeeinrsu', 'disburdened')
('bddegiinnrsu', 'disburdening')
('bddeinrssu', 'disburdens')
('abdilrssu', 'disbursal')
('abdilrsssu', 'disbursals')
('bdeirssu', 'disburse')
('bddeirssu', 'disbursed')
('bdeeimnrsstu', 'disbursement')
('bdeeimnrssstu', 'disbursements')
('bdeirsssu', 'disburses')
('bdgiinrssu', 'disbursing')
('cdis', 'disc')
('acddirs', 'discard')
('acdddeirs', 'discarded')
('acddgiinrs', 'discarding')
('acddirss', 'discards')
('cdeinrs', 'discern')
('cddeeinrs', 'discerned')
('bcdeeiilnrs', 'discernible')
('bcdeiilnrsy', 'discernibly')
('cdegiinnrs', 'discerning')
('cdeeimnnrst', 'discernment')
('cdeinrss', 'discerns')
('acdeghirs', 'discharge')
('acddeghirs', 'discharged')
('acdeghirss', 'discharges')
('acdgghiinrs', 'discharging')
('cdeiilps', 'disciple')
('cdeiilpss', 'disciples')
('cdehiiilppss', 'discipleship')
('aacdiiiilnnprs', 'disciplinarian')
('aacdiiiilnnprss', 'disciplinarians')
('acdiiilnprsy', 'disciplinary')
('cdeiiilnps', 'discipline')
('cddeiiilnps', 'disciplined')
('cdeiiilnpss', 'disciplines')
('cdgiiiilnnps', 'disciplining')
('acdiilms', 'disclaim')
('acddeiilms', 'disclaimed')
('acdeiilmrs', 'disclaimer')
('acdeiilmrss', 'disclaimers')
('acdgiiilmns', 'disclaiming')
('acdiilmss', 'disclaims')
('cdeiloss', 'disclose')
('cddeiloss', 'disclosed')
('cdeilosss', 'discloses')
('cdgiilnoss', 'disclosing')
('cdeilorssu', 'disclosure')
('cdeilorsssu', 'disclosures')
('cdios', 'disco')
('cddeios', 'discoed')
('acdeghioprrs', 'discographer')
('acdeghioprrss', 'discographers')
('acdghioprsy', 'discography')
('cddiios', 'discoid')
('cdgiinos', 'discoing')
('cdiloors', 'discolor')
('acdiilnooorst', 'discoloration')
('cddeiloors', 'discolored')
('cdgiilnoors', 'discoloring')
('cdiloorss', 'discolors')
('cdiloorsu', 'discolour')
('cddeiloorsu', 'discoloured')
('cdgiilnoorsu', 'discolouring')
('cdiloorssu', 'discolours')
('abbcdeilmoostu', 'discombobulate')
('abbcddeilmoostu', 'discombobulated')
('abbcdeilmoosstu', 'discombobulates')
('abbcdgiilmnoostu', 'discombobulating')
('cdfiimost', 'discomfit')
('cddefiimost', 'discomfited')
('cdfgiiimnost', 'discomfiting')
('cdfiimosst', 'discomfits')
('cdefiimorstu', 'discomfiture')
('cdfimoorst', 'discomfort')
('cddefimoorst', 'discomforted')
('cdfgiimnoorst', 'discomforting')
('cdfimoorsst', 'discomforts')
('cddeimmoos', 'discommode')
('cdddeimmoos', 'discommoded')
('cddeimmooss', 'discommodes')
('cddgiimmnoos', 'discommoding')
('cdimmnoos', 'discommon')
('cddeimmnoos', 'discommoned')
('cdgiimmnnoos', 'discommoning')
('cdimmnooss', 'discommons')
('cdeimoopss', 'discompose')
('cddeimoopss', 'discomposed')
('cdeimoopsss', 'discomposes')
('cdgiimnoopss', 'discomposing')
('cdeimooprssu', 'discomposure')
('ccdeinorst', 'disconcert')
('ccddeeinorst', 'disconcerted')
('ccdegiinnorst', 'disconcerting')
('ccdegiilnnorsty', 'disconcertingly')
('ccdeiinnoorst', 'disconcertion')
('ccdeinorsst', 'disconcerts')
('ccdeinnost', 'disconnect')
('ccddeeinnost', 'disconnected')
('ccddeeilnnosty', 'disconnectedly')
('ccdegiinnnost', 'disconnecting')
('ccdeiinnnoost', 'disconnection')
('ccdeinnosst', 'disconnects')
('acdeilnoosst', 'disconsolate')
('acdeillnoossty', 'disconsolately')
('cdeinnostt', 'discontent')
('cddeeinnostt', 'discontented')
('cddeeilnnostty', 'discontentedly')
('cdegiinnnostt', 'discontenting')
('cdeeimnnnosttt', 'discontentment')
('cdeinnosstt', 'discontents')
('accdeiinnnostu', 'discontinuance')
('acdiiinnnoosttu', 'discontinuation')
('cdeiinnostu', 'discontinue')
('cddeiinnostu', 'discontinued')
('cdeiinnosstu', 'discontinues')
('cdgiiinnnostu', 'discontinuing')
('cdeiiiinnossttu', 'discontinuities')
('cdiiinnosttuy', 'discontinuity')
('cdiinnoosstuu', 'discontinuous')
('cdiilnnoosstuuy', 'discontinuously')
('cdehiilops', 'discophile')
('cdehiilopss', 'discophiles')
('cddiors', 'discord')
('accddeinors', 'discordance')
('acddinorst', 'discordant')
('acddilnorsty', 'discordantly')
('cddiorss', 'discords')
('acdeiooprrst', 'discorporate')
('cdioss', 'discos')
('cdeehioqstu', 'discotheque')
('cdeehioqsstu', 'discotheques')
('cdinostu', 'discount')
('abcdeilnostu', 'discountable')
('cddeinostu', 'discounted')
('accdeeinnnostu', 'discountenance')
('accddeeinnnostu', 'discountenanced')
('accdeeinnnosstu', 'discountenances')
('accdegiinnnnostu', 'discountenancing')
('cdeinorstu', 'discounter')
('cdeinorsstu', 'discounters')
('cdgiinnostu', 'discounting')
('cdinosstu', 'discounts')
('acdegiorsu', 'discourage')
('acddegiorsu', 'discouraged')
('acdeegimnorstu', 'discouragement')
('acdegiorssu', 'discourages')
('acdggiinorsu', 'discouraging')
('acdggiilnorsuy', 'discouragingly')
('cdeiorssu', 'discourse')
('cddeiorssu', 'discoursed')
('cdeiorsssu', 'discourses')
('cdgiinorssu', 'discoursing')
('cdeioorsstuu', 'discourteous')
('cdeiloorsstuuy', 'discourteously')
('cdeeiiorssstu', 'discourtesies')
('cdeiorsstuy', 'discourtesy')
('cdeiorsv', 'discover')
('abcdeeilorsv', 'discoverable')
('cddeeiorsv', 'discovered')
('cdeeiorrsv', 'discoverer')
('cdeeiorrssv', 'discoverers')
('cdeeiiorssv', 'discoveries')
('cdegiinorsv', 'discovering')
('cdeiorssv', 'discovers')
('cdeiorstv', 'discovert')
('cdeiorsvy', 'discovery')
('cddeiirst', 'discredit')
('abcddeeiilrst', 'discreditable')
('abcddeiilrsty', 'discreditably')
('cdddeeiirst', 'discredited')
('cddegiiinrst', 'discrediting')
('cddeiirsst', 'discredits')
('cdeeirst', 'discreet')
('cdeeilrsty', 'discreetly')
('accdeeiinprss', 'discrepancies')
('accdeinprsy', 'discrepancy')
('acdeinprst', 'discrepant')
('cdeeirst', 'discrete')
('cdeeilrsty', 'discretely')
('cdeeeinrssst', 'discreteness')
('cdeiinorst', 'discretion')
('acdeiinorrsty', 'discretionary')
('acdeiiimnrst', 'discriminate')
('acddeiiimnrst', 'discriminated')
('acdeiiimnrsst', 'discriminates')
('acdgiiiimnnrst', 'discriminating')
('acdgiiiilmnnrsty', 'discriminatingly')
('acdiiiimnnorst', 'discrimination')
('acdiiiimnnorsst', 'discriminations')
('acdeiiiimnrstv', 'discriminative')
('acdiiimnorrst', 'discriminator')
('acdiiimnorrsst', 'discriminators')
('acdiiimnorrsty', 'discriminatory')
('cdiss', 'discs')
('cdeiirssuv', 'discursive')
('cdeiilrssuvy', 'discursively')
('cdeeiinrssssuv', 'discursiveness')
('cdissu', 'discus')
('cdeisssu', 'discuses')
('cdisssu', 'discuss')
('acdinssstu', 'discussant')
('cddeisssu', 'discussed')
('cdeissssu', 'discusses')
('bcdeiilsssu', 'discussible')
('cdgiinsssu', 'discussing')
('cdiinosssu', 'discussion')
('cdiinossssu', 'discussions')
('addiins', 'disdain')
('adddeiins', 'disdained')
('addfiilnsu', 'disdainful')
('addfiillnsuy', 'disdainfully')
('addgiiinns', 'disdaining')
('addiinss', 'disdains')
('adeeiss', 'disease')
('addeeiss', 'diseased')
('adeeisss', 'diseases')
('cdeeiimnooss', 'diseconomies')
('cdeimnoosy', 'diseconomy')
('abdeikmrs', 'disembark')
('aabdeiikmnorst', 'disembarkation')
('abddeeikmrs', 'disembarked')
('abdegiikmnrs', 'disembarking')
('abdeikmrss', 'disembarks')
('aabdeimrrsss', 'disembarrass')
('aabddeeimrrsss', 'disembarrassed')
('aabdeeimrrssss', 'disembarrasses')
('aabdegiimnrrsss', 'disembarrassing')
('bdddeeiimos', 'disembodied')
('bddeeiimoss', 'disembodies')
('bddeeiimmnost', 'disembodiment')
('bddeimosy', 'disembody')
('bddegiimnosy', 'disembodying')
('bdeeilmosw', 'disembowel')
('bddeeeilmosw', 'disemboweled')
('bdeegiilmnosw', 'disemboweling')
('bddeeeillmosw', 'disembowelled')
('bdeegiillmnosw', 'disembowelling')
('bdeeeilmmnostw', 'disembowelment')
('bdeeilmossw', 'disembowels')
('deilmopsy', 'disemploy')
('ddeeilmopsy', 'disemployed')
('degiilmnopsy', 'disemploying')
('deilmopssy', 'disemploys')
('acdehinnst', 'disenchant')
('acddeehinnst', 'disenchanted')
('acdeghiinnnst', 'disenchanting')
('acdeehimnnnstt', 'disenchantment')
('acdehinnsst', 'disenchants')
('bcdeeimnrsu', 'disencumber')
('bcddeeeimnrsu', 'disencumbered')
('bcdeegiimnnrsu', 'disencumbering')
('bcdeeimnrssu', 'disencumbers')
('acdeefhiinnrss', 'disenfranchise')
('acddeefhiinnrss', 'disenfranchised')
('acdeeefhiimnnnrsst', 'disenfranchisement')
('acdeefhiinnrsss', 'disenfranchises')
('acdefghiiinnnrss', 'disenfranchising')
('adeeggins', 'disengage')
('addeeggins', 'disengaged')
('adeeeggimnnst', 'disengagement')
('adeegginss', 'disengages')
('adegggiinns', 'disengaging')
('adegiiilnnst', 'disentailing')
('adeegilnnst', 'disentangle')
('addeegilnnst', 'disentangled')
('adeegilnnsst', 'disentangles')
('adeggiilnnnst', 'disentangling')
('abdehiilssst', 'disestablish')
('abddeehiilssst', 'disestablished')
('abdeehiilsssst', 'disestablishes')
('abdeghiiilnssst', 'disestablishing')
('abdeehiilmnssstt', 'disestablishment')
('deeeimsst', 'disesteem')
('ddeeeeimsst', 'disesteemed')
('deeegiimnsst', 'disesteeming')
('deeeimssst', 'disesteems')
('adfiorsv', 'disfavor')
('addefiorsv', 'disfavored')
('adfgiinorsv', 'disfavoring')
('adfiorssv', 'disfavors')
('adfiorsuv', 'disfavour')
('addefiorsuv', 'disfavoured')
('adfgiinorsuv', 'disfavouring')
('adfiorssuv', 'disfavours')
('defgiirsu', 'disfigure')
('ddefgiirsu', 'disfigured')
('deefgiimnrstu', 'disfigurement')
('deefgiimnrsstu', 'disfigurements')
('defgiirssu', 'disfigures')
('dfggiiinrsu', 'disfiguring')
('acdefhiinrss', 'disfranchise')
('acddefhiinrss', 'disfranchised')
('acdeefhiimnnrsst', 'disfranchisement')
('acdefhiinrsss', 'disfranchises')
('acdfghiiinnrss', 'disfranchising')
('deggiors', 'disgorge')
('ddeggiors', 'disgorged')
('deggiorss', 'disgorges')
('dgggiinors', 'disgorging')
('acdegirs', 'disgrace')
('acddegirs', 'disgraced')
('acdefgilrsu', 'disgraceful')
('acdefgillrsuy', 'disgracefully')
('acdeefgilnrsssu', 'disgracefulness')
('acdegirss', 'disgraces')
('acdggiinrs', 'disgracing')
('addggiinrs', 'disgrading')
('degilnrstu', 'disgruntle')
('ddegilnrstu', 'disgruntled')
('deegilmnnrsttu', 'disgruntlement')
('degilnrsstu', 'disgruntles')
('dggiilnnrstu', 'disgruntling')
('degiissu', 'disguise')
('ddegiissu', 'disguised')
('degiisssu', 'disguises')
('dggiiinssu', 'disguising')
('dgisstu', 'disgust')
('ddegisstu', 'disgusted')
('ddegilsstuy', 'disgustedly')
('dggiinsstu', 'disgusting')
('dggiilnsstuy', 'disgustingly')
('dgissstu', 'disgusts')
('dhis', 'dish')
('abdehiills', 'dishabille')
('adehiimnorss', 'disharmonies')
('adhiimnoorssu', 'disharmonious')
('adhimnorsy', 'disharmony')
('adeehinrst', 'dishearten')
('addeeehinrst', 'disheartened')
('adeeghiinnrst', 'disheartening')
('adeeghiilnnrsty', 'dishearteningly')
('adeehinrsst', 'disheartens')
('ddehis', 'dished')
('dehiss', 'dishes')
('deehilsv', 'dishevel')
('ddeeehilsv', 'disheveled')
('deeghiilnsv', 'disheveling')
('ddeeehillsv', 'dishevelled')
('deeghiillnsv', 'dishevelling')
('deehilssv', 'dishevels')
('dehiirs', 'dishier')
('dehiisst', 'dishiest')
('dghiins', 'dishing')
('dehinosst', 'dishonest')
('deehiinossst', 'dishonesties')
('dehilnossty', 'dishonestly')
('dehinossty', 'dishonesty')
('dhinoors', 'dishonor')
('abdehilnoors', 'dishonorable')
('abdeehilnnoorsss', 'dishonorableness')
('abdhilnoorsy', 'dishonorably')
('ddehinoors', 'dishonored')
('dghiinnoors', 'dishonoring')
('dhinoorss', 'dishonors')
('dhinoorsu', 'dishonour')
('abdehilnoorsu', 'dishonourable')
('abdeehilnnoorsssu', 'dishonourableness')
('abdhilnoorsuy', 'dishonourably')
('ddehinoorsu', 'dishonoured')
('dghiinnoorsu', 'dishonouring')
('dhinoorssu', 'dishonours')
('adghirs', 'dishrag')
('adehhirssw', 'dishwasher')
('adehhirsssw', 'dishwashers')
('adehirstw', 'dishwater')
('dhisy', 'dishy')
('diiillnossu', 'disillusion')
('ddeiiillnossu', 'disillusioned')
('dgiiiillnnossu', 'disillusioning')
('deiiillmnnosstu', 'disillusionment')
('diiillnosssu', 'disillusions')
('aaccdeeiinrrst', 'disincarcerate')
('aaccddeeiinrrst', 'disincarcerated')
('aaccdeeiinrrsst', 'disincarcerates')
('aaccdegiiinnrrst', 'disincarcerating')
('cdeeiiinnstv', 'disincentive')
('cdeeiiinnsstv', 'disincentives')
('acdiiiilnnnost', 'disinclination')
('cdeiiilnns', 'disincline')
('cddeiiilnns', 'disinclined')
('cdeiiilnnss', 'disinclines')
('cdgiiiilnnns', 'disinclining')
('cdefiinst', 'disinfect')
('acdefiinnstt', 'disinfectant')
('acdefiinnsstt', 'disinfectants')
('cddeefiinst', 'disinfected')
('cdefgiiinnst', 'disinfecting')
('cdefiinsst', 'disinfects')
('defiinsst', 'disinfest')
('ddeefiinsst', 'disinfested')
('defgiiinnsst', 'disinfesting')
('defiinssst', 'disinfests')
('adfiiilnnost', 'disinflation')
('adfiiimnnoorst', 'disinformation')
('degiinnossuu', 'disingenuous')
('degiilnnossuuy', 'disingenuously')
('dehiiinrst', 'disinherit')
('acdeehiiinnrst', 'disinheritance')
('acdeehiiinnrsst', 'disinheritances')
('ddeehiiinrst', 'disinherited')
('deghiiiinnrst', 'disinheriting')
('dehiiinrsst', 'disinherits')
('bdhiiiinst', 'disinhibit')
('bddehiiiinst', 'disinhibited')
('bdghiiiiinnst', 'disinhibiting')
('bdhiiiinsst', 'disinhibits')
('adeegiinrstt', 'disintegrate')
('addeegiinrstt', 'disintegrated')
('adeegiinrsstt', 'disintegrates')
('adeggiiinnrstt', 'disintegrating')
('adegiiinnorstt', 'disintegration')
('adeegiiinrsttv', 'disintegrative')
('deiinrst', 'disinter')
('deeiinrsstt', 'disinterest')
('ddeeeiinrsstt', 'disinterested')
('ddeeeiilnrsstty', 'disinterestedly')
('ddeeeeiinnrsssstt', 'disinterestedness')
('ddeeiinrrst', 'disinterred')
('degiiinnrrst', 'disinterring')
('deiinrsst', 'disinters')
('deeiimnnssttv', 'disinvestment')
('diijnos', 'disjoin')
('ddeiijnos', 'disjoined')
('dgiiijnnos', 'disjoining')
('diijnoss', 'disjoins')
('diijnost', 'disjoint')
('ddeiijnost', 'disjointed')
('ddeiijlnosty', 'disjointedly')
('dgiiijnnost', 'disjointing')
('diijnosst', 'disjoints')
('cdiijnnostu', 'disjunction')
('cdeiijnstuv', 'disjunctive')
('cdeiijlnstuvy', 'disjunctively')
('diks', 'disk')
('ddeiks', 'disked')
('deeikstt', 'diskette')
('deeiksstt', 'diskettes')
('dgiikns', 'disking')
('dikss', 'disks')
('deiikls', 'dislike')
('ddeiikls', 'disliked')
('deiiklss', 'dislikes')
('dgiiiklns', 'disliking')
('acdeilost', 'dislocate')
('acddeilost', 'dislocated')
('acdeilosst', 'dislocates')
('acdgiilnost', 'dislocating')
('acdiilnoost', 'dislocation')
('acdiilnoosst', 'dislocations')
('ddegilos', 'dislodge')
('dddegilos', 'dislodged')
('ddeegilmnost', 'dislodgement')
('ddegiloss', 'dislodges')
('ddggiilnos', 'dislodging')
('ddegilmnost', 'dislodgment')
('adillosy', 'disloyal')
('adilllosyy', 'disloyally')
('adeiillossty', 'disloyalties')
('adillostyy', 'disloyalty')
('adilms', 'dismal')
('adillmsy', 'dismally')
('adeilmnst', 'dismantle')
('addeilmnst', 'dismantled')
('adeilmnsst', 'dismantles')
('adgiilmnnst', 'dismantling')
('adimsy', 'dismay')
('addeimsy', 'dismayed')
('adgiimnsy', 'dismaying')
('adimssy', 'dismays')
('bdeeimmrs', 'dismember')
('bddeeeimmrs', 'dismembered')
('bdeegiimmnrs', 'dismembering')
('bdeeeimmmnrst', 'dismemberment')
('bdeeimmrss', 'dismembers')
('diimsss', 'dismiss')
('adiilmsss', 'dismissal')
('adiilmssss', 'dismissals')
('ddeiimsss', 'dismissed')
('deiimssss', 'dismisses')
('dgiiimnsss', 'dismissing')
('deiiimsssv', 'dismissive')
('dimnostu', 'dismount')
('abdeilmnostu', 'dismountable')
('ddeimnostu', 'dismounted')
('dgiimnnostu', 'dismounting')
('dimnosstu', 'dismounts')
('deinsy', 'disney')
('addeilnnsy', 'disneyland')
('bcddeeeiinos', 'disobedience')
('bddeeiinost', 'disobedient')
('bddeeiilnosty', 'disobediently')
('bdeiosy', 'disobey')
('bddeeiosy', 'disobeyed')
